measure,year,month
273767000,2001,1
251207000,2001,2
290686000,2001,3
290469000,2001,4
303318000,2001,5
270196000,2001,6
261197000,2001,7
249447000,2001,8
265896000,2001,9
273803000,2001,10
247304000,2001,11
256771000,2001,12
266933000,2002,1
251263000,2002,2
288821000,2002,3
294299000,2002,4
310965000,2002,5
268492000,2002,6
263516000,2002,7
248204000,2002,8
265465000,2002,9
261665000,2002,10
240337000,2002,11
253214000,2002,12
261805000,2003,1
244912000,2003,2
286700000,2003,3
290040000,2003,4
303425000,2003,5
256585000,2003,6
252669000,2003,7
244176000,2003,8
270103000,2003,9
266266000,2003,10
242368000,2003,11
255469000,2003,12
265834000,2004,1
257450000,2004,2
284428000,2004,3
286692000,2004,4
307291000,2004,5
268627000,2004,6
253391000,2004,7
244841000,2004,8
271017000,2004,9
269477000,2004,10
243708000,2004,11
259229000,2004,12
269538000,2005,1
249044000,2005,2
289220000,2005,3
292360000,2005,4
304655000,2005,5
266827000,2005,6
254470000,2005,7
245169000,2005,8
266546000,2005,9
268840000,2005,10
243500000,2005,11
253052000,2005,12
262690000,2006,1
248074000,2006,2
286167000,2006,3
290643000,2006,4
304211000,2006,5
266436000,2006,6
252642000,2006,7
248366000,2006,8
269284000,2006,9
268096000,2006,10
249141000,2006,11
259223000,2006,12
274482000,2007,1
255294000,2007,2
292819000,2007,3
303826000,2007,4
300271000,2007,5
258910000,2007,6
252517000,2007,7
248753000,2007,8
275651000,2007,9
278300000,2007,10
250520000,2007,11
268744000,2007,12
283552000,2008,1
277011000,2008,2
309682000,2008,3
306262000,2008,4
321254000,2008,5
274310000,2008,6
273280000,2008,7
265677000,2008,8
287376000,2008,9
287251000,2008,10
262213000,2008,11
275179000,2008,12
284927000,2009,1
267204000,2009,2
306899000,2009,3
313905000,2009,4
320816000,2009,5
281103000,2009,6
268215000,2009,7
260182000,2009,8
286090000,2009,9
288155000,2009,10
260678000,2009,11
277178000,2009,12
288675000,2010,1
271015000,2010,2
312674000,2010,3
319478000,2010,4
323840000,2010,5
278439000,2010,6
265886000,2010,7
263199000,2010,8
289365000,2010,9
287776000,2010,10
262392000,2010,11
274881000,2010,12
287611000,2011,1
269134000,2011,2
309336000,2011,3
321938000,2011,4
319200000,2011,5
279855000,2011,6
275190000,2011,7
267009000,2011,8
291381000,2011,9
293577000,2011,10
270609000,2011,11
287134000,2011,12
297252000,2012,1
284906000,2012,2
322962000,2012,3
322751000,2012,4
328625000,2012,5
284820000,2012,6
266345000,2012,7
260897000,2012,8
288629000,2012,9
280055000,2012,10
258999000,2012,11
274590000,2012,12
287597000,2013,1
267079000,2013,2
304130000,2013,3
302929000,2013,4
314730000,2013,5
278031000,2013,6
270443000,2013,7
267313000,2013,8
291152000,2013,9
290998000,2013,10
269059000,2013,11
285152000,2013,12
300456000,2014,1
278637000,2014,2
317478000,2014,3
325646000,2014,4
325808000,2014,5
290436000,2014,6
281470000,2014,7
272033000,2014,8
296464000,2014,9
293667000,2014,10
272396000,2014,11
286041000,2014,12
295548000,2015,1
272350000,2015,2
312339000,2015,3
316802000,2015,4
321920000,2015,5
283795000,2015,6
267466000,2015,7
266817000,2015,8
292261000,2015,9
291878000,2015,10
274573000,2015,11
290431000,2015,12
301799000,2016,1
289459000,2016,2
313726000,2016,3
318052000,2016,4
318271000,2016,5
273142000,2016,6
259697000,2016,7
257157000,2016,8
284691000,2016,9
283538000,2016,10
257317000,2016,11
277127000,2016,12
282922000,2017,1
267147000,2017,2
308839000,2017,3
316393000,2017,4
316613000,2017,5
276013000,2017,6
264699000,2017,7
260555000,2017,8
290689000,2017,9
289685000,2017,10
270900000,2017,11
289545000,2017,12
301529000,2018,1
278442000,2018,2
313882000,2018,3
319607000,2018,4
320896000,2018,5
276254000,2018,6
267781000,2018,7
258193000,2018,8
286309000,2018,9
288491000,2018,10
264633000,2018,11
278417000,2018,12
286718000,2019,1
267882000,2019,2
310089000,2019,3
313862000,2019,4
320254000,2019,5
277958000,2019,6
260730000,2019,7
257232000,2019,8
285128000,2019,9
283192000,2019,10
258065000,2019,11
278165000,2019,12
286931000,2020,1
277692000,2020,2
308012000,2020,3
316266000,2020,4
314324000,2020,5
271730000,2020,6
265095000,2020,7
258140000,2020,8
289318000,2020,9
279059000,2020,10
262282000,2020,11
276290000,2020,12
286358000,2021,1
272175000,2021,2
312144000,2021,3
317004000,2021,4
325313000,2021,5
282385000,2021,6
262985000,2021,7
251971000,2021,8
281144000,2021,9
284550000,2021,10
258127000,2021,11
271124000,2021,12
283791000,2022,1
265036000,2022,2
297392000,2022,3
306400000,2022,4
312489000,2022,5
265197000,2022,6
259487000,2022,7
253298000,2022,8
281858000,2022,9
274292000,2022,10
261813000,2022,11
273543000,2022,12
287423000,2023,1
267780000,2023,2
307226000,2023,3
310402000,2023,4
309034000,2023,5
262943000,2023,6
255038000,2023,7
249524000,2023,8
278932000,2023,9
274315000,2023,10
252906000,2023,11
269664000,2023,12
