"sector","product","marketingYear","month","partner","Einheit","Wert"
"Milk And Milk Products","Fresh milk","2014",1,"Switzerland","euroValue",175872
"Milk And Milk Products","Fresh milk","2014",1,"Switzerland","tons",411.362
"Milk And Milk Products","Fresh milk","2014",11,"Switzerland","euroValue",511273
"Milk And Milk Products","Fresh milk","2014",11,"Switzerland","tons",1057.178
"Milk And Milk Products","Fresh milk","2014",12,"Switzerland","euroValue",932452
"Milk And Milk Products","Fresh milk","2014",12,"Switzerland","tons",2076.304
"Milk And Milk Products","Fresh milk","2015",1,"Switzerland","euroValue",954228
"Milk And Milk Products","Fresh milk","2015",1,"Switzerland","tons",2209.453
"Milk And Milk Products","Fresh milk","2015",2,"Switzerland","euroValue",949007
"Milk And Milk Products","Fresh milk","2015",2,"Switzerland","tons",2236.47
"Milk And Milk Products","Fresh milk","2015",3,"Switzerland","euroValue",919261
"Milk And Milk Products","Fresh milk","2015",3,"Switzerland","tons",2265.018
"Milk And Milk Products","Fresh milk","2015",4,"Switzerland","euroValue",1139667
"Milk And Milk Products","Fresh milk","2015",4,"Switzerland","tons",2835.485
"Milk And Milk Products","Fresh milk","2015",5,"Switzerland","euroValue",912154
"Milk And Milk Products","Fresh milk","2015",5,"Switzerland","tons",2258.44
"Milk And Milk Products","Fresh milk","2015",6,"Switzerland","euroValue",820225
"Milk And Milk Products","Fresh milk","2015",6,"Switzerland","tons",1995.287
"Milk And Milk Products","Fresh milk","2015",7,"Switzerland","euroValue",938414
"Milk And Milk Products","Fresh milk","2015",7,"Switzerland","tons",2303.231
"Milk And Milk Products","Fresh milk","2015",8,"Switzerland","euroValue",727361
"Milk And Milk Products","Fresh milk","2015",8,"Switzerland","tons",1609.571
"Milk And Milk Products","Fresh milk","2015",9,"Switzerland","euroValue",625033
"Milk And Milk Products","Fresh milk","2015",9,"Switzerland","tons",1415.163
"Milk And Milk Products","Fresh milk","2015",10,"Switzerland","euroValue",771280
"Milk And Milk Products","Fresh milk","2015",10,"Switzerland","tons",1586.004
"Milk And Milk Products","Fresh milk","2015",11,"Switzerland","euroValue",612215
"Milk And Milk Products","Fresh milk","2015",11,"Switzerland","tons",1283.445
"Milk And Milk Products","Fresh milk","2015",12,"Switzerland","euroValue",616497
"Milk And Milk Products","Fresh milk","2015",12,"Switzerland","tons",1493.829
"Milk And Milk Products","Fresh milk","2016",1,"Switzerland","euroValue",822812
"Milk And Milk Products","Fresh milk","2016",1,"Switzerland","tons",2146.019
"Milk And Milk Products","Fresh milk","2016",2,"Switzerland","euroValue",822395
"Milk And Milk Products","Fresh milk","2016",2,"Switzerland","tons",2159.874
"Milk And Milk Products","Fresh milk","2016",3,"Switzerland","euroValue",764200
"Milk And Milk Products","Fresh milk","2016",3,"Switzerland","tons",1989.97
"Milk And Milk Products","Fresh milk","2016",4,"Switzerland","euroValue",937061
"Milk And Milk Products","Fresh milk","2016",4,"Switzerland","tons",2545.079
"Milk And Milk Products","Fresh milk","2016",5,"Switzerland","euroValue",686093
"Milk And Milk Products","Fresh milk","2016",5,"Switzerland","tons",1963.769
"Milk And Milk Products","Fresh milk","2016",6,"Switzerland","euroValue",782147
"Milk And Milk Products","Fresh milk","2016",6,"Switzerland","tons",2184.85
"Milk And Milk Products","Fresh milk","2016",7,"Switzerland","euroValue",1082449
"Milk And Milk Products","Fresh milk","2016",7,"Switzerland","tons",2871.568
"Milk And Milk Products","Fresh milk","2016",8,"Switzerland","euroValue",787257
"Milk And Milk Products","Fresh milk","2016",8,"Switzerland","tons",2003.533
"Milk And Milk Products","Fresh milk","2016",9,"Switzerland","euroValue",775455
"Milk And Milk Products","Fresh milk","2016",9,"Switzerland","tons",1816.465
"Milk And Milk Products","Fresh milk","2016",10,"Switzerland","euroValue",639143
"Milk And Milk Products","Fresh milk","2016",10,"Switzerland","tons",1415.077
"Milk And Milk Products","Fresh milk","2016",11,"Switzerland","euroValue",597592
"Milk And Milk Products","Fresh milk","2016",11,"Switzerland","tons",1431.921
"Milk And Milk Products","Fresh milk","2016",12,"Switzerland","euroValue",789493
"Milk And Milk Products","Fresh milk","2016",12,"Switzerland","tons",2051.045
"Milk And Milk Products","Fresh milk","2017",1,"Switzerland","euroValue",669315
"Milk And Milk Products","Fresh milk","2017",1,"Switzerland","tons",1747.568
"Milk And Milk Products","Fresh milk","2017",2,"Switzerland","euroValue",749119
"Milk And Milk Products","Fresh milk","2017",2,"Switzerland","tons",1892.319
"Milk And Milk Products","Fresh milk","2017",3,"Switzerland","euroValue",762516
"Milk And Milk Products","Fresh milk","2017",3,"Switzerland","tons",1889.209
"Milk And Milk Products","Fresh milk","2017",4,"Switzerland","euroValue",1064548
"Milk And Milk Products","Fresh milk","2017",4,"Switzerland","tons",2660.166
"Milk And Milk Products","Fresh milk","2017",5,"Switzerland","euroValue",896973
"Milk And Milk Products","Fresh milk","2017",5,"Switzerland","tons",2249.263
"Milk And Milk Products","Fresh milk","2017",6,"Switzerland","euroValue",947544
"Milk And Milk Products","Fresh milk","2017",6,"Switzerland","tons",2318.757
"Milk And Milk Products","Fresh milk","2017",7,"Switzerland","euroValue",1242206
"Milk And Milk Products","Fresh milk","2017",7,"Switzerland","tons",2932.93
"Milk And Milk Products","Fresh milk","2017",8,"Switzerland","euroValue",888757
"Milk And Milk Products","Fresh milk","2017",8,"Switzerland","tons",2036.689
"Milk And Milk Products","Fresh milk","2017",9,"Switzerland","euroValue",686498
"Milk And Milk Products","Fresh milk","2017",9,"Switzerland","tons",1501.881
"Milk And Milk Products","Fresh milk","2017",10,"Switzerland","euroValue",970354
"Milk And Milk Products","Fresh milk","2017",10,"Switzerland","tons",1993.303
"Milk And Milk Products","Fresh milk","2017",11,"Switzerland","euroValue",778529
"Milk And Milk Products","Fresh milk","2017",11,"Switzerland","tons",1705.507
"Milk And Milk Products","Fresh milk","2017",12,"Switzerland","euroValue",1367155
"Milk And Milk Products","Fresh milk","2017",12,"Switzerland","tons",2368.369
"Milk And Milk Products","Fresh milk","2018",1,"Switzerland","euroValue",885407
"Milk And Milk Products","Fresh milk","2018",1,"Switzerland","tons",2089.334
"Milk And Milk Products","Fresh milk","2018",2,"Switzerland","euroValue",849989
"Milk And Milk Products","Fresh milk","2018",2,"Switzerland","tons",2029.241
"Milk And Milk Products","Fresh milk","2018",3,"Switzerland","euroValue",846399
"Milk And Milk Products","Fresh milk","2018",3,"Switzerland","tons",2012.147
"Milk And Milk Products","Fresh milk","2018",4,"Switzerland","euroValue",1065366
"Milk And Milk Products","Fresh milk","2018",4,"Switzerland","tons",2501.438
"Milk And Milk Products","Fresh milk","2018",5,"Switzerland","euroValue",853563
"Milk And Milk Products","Fresh milk","2018",5,"Switzerland","tons",2168.046
"Milk And Milk Products","Fresh milk","2018",6,"Switzerland","euroValue",978230
"Milk And Milk Products","Fresh milk","2018",6,"Switzerland","tons",2375.268
"Milk And Milk Products","Fresh milk","2018",7,"Switzerland","euroValue",912441
"Milk And Milk Products","Fresh milk","2018",7,"Switzerland","tons",2204.059
"Milk And Milk Products","Fresh milk","2018",8,"Switzerland","euroValue",646836
"Milk And Milk Products","Fresh milk","2018",8,"Switzerland","tons",1514.049
"Milk And Milk Products","Fresh milk","2018",9,"Switzerland","euroValue",178803
"Milk And Milk Products","Fresh milk","2018",9,"Switzerland","tons",382.946
"Milk And Milk Products","Fresh milk","2018",10,"Switzerland","euroValue",710946
