"sector","product","marketingYear","month","partner","Einheit","Wert"
"Milk And Milk Products","Fresh milk","2011",1,"Switzerland","euroValue",1476
"Milk And Milk Products","Fresh milk","2011",1,"Switzerland","tons",1.143
"Milk And Milk Products","Fresh milk","2011",2,"Switzerland","euroValue",738
"Milk And Milk Products","Fresh milk","2011",2,"Switzerland","tons",0.836
"Milk And Milk Products","Fresh milk","2011",3,"Switzerland","euroValue",621
"Milk And Milk Products","Fresh milk","2011",3,"Switzerland","tons",0.562
"Milk And Milk Products","Fresh milk","2011",4,"Switzerland","euroValue",1379
"Milk And Milk Products","Fresh milk","2011",4,"Switzerland","tons",1.436
"Milk And Milk Products","Fresh milk","2011",5,"Switzerland","euroValue",2245
"Milk And Milk Products","Fresh milk","2011",5,"Switzerland","tons",1.423
"Milk And Milk Products","Fresh milk","2011",6,"Switzerland","euroValue",739
"Milk And Milk Products","Fresh milk","2011",6,"Switzerland","tons",0.601
"Milk And Milk Products","Fresh milk","2011",7,"Switzerland","euroValue",1130
"Milk And Milk Products","Fresh milk","2011",7,"Switzerland","tons",1.141
"Milk And Milk Products","Fresh milk","2011",8,"Switzerland","euroValue",1125
"Milk And Milk Products","Fresh milk","2011",8,"Switzerland","tons",0.825
"Milk And Milk Products","Fresh milk","2011",9,"Switzerland","euroValue",728
"Milk And Milk Products","Fresh milk","2011",9,"Switzerland","tons",0.732
"Milk And Milk Products","Fresh milk","2011",10,"Switzerland","euroValue",2316
"Milk And Milk Products","Fresh milk","2011",10,"Switzerland","tons",2.916
"Milk And Milk Products","Fresh milk","2011",11,"Switzerland","euroValue",735
"Milk And Milk Products","Fresh milk","2011",11,"Switzerland","tons",0.693
"Milk And Milk Products","Fresh milk","2011",12,"Switzerland","euroValue",972
"Milk And Milk Products","Fresh milk","2011",12,"Switzerland","tons",0.905
"Milk And Milk Products","Fresh milk","2012",1,"Switzerland","euroValue",4244
"Milk And Milk Products","Fresh milk","2012",1,"Switzerland","tons",1.912
"Milk And Milk Products","Fresh milk","2012",2,"Switzerland","euroValue",6261
"Milk And Milk Products","Fresh milk","2012",2,"Switzerland","tons",1.632
"Milk And Milk Products","Fresh milk","2012",3,"Switzerland","euroValue",2706
"Milk And Milk Products","Fresh milk","2012",3,"Switzerland","tons",1.267
"Milk And Milk Products","Fresh milk","2012",4,"Switzerland","euroValue",6730
"Milk And Milk Products","Fresh milk","2012",4,"Switzerland","tons",2.07
"Milk And Milk Products","Fresh milk","2012",5,"Switzerland","euroValue",6316
"Milk And Milk Products","Fresh milk","2012",5,"Switzerland","tons",1.977
"Milk And Milk Products","Fresh milk","2012",6,"Switzerland","euroValue",3137
"Milk And Milk Products","Fresh milk","2012",6,"Switzerland","tons",1.263
"Milk And Milk Products","Fresh milk","2012",7,"Switzerland","euroValue",3340
"Milk And Milk Products","Fresh milk","2012",7,"Switzerland","tons",1.288
"Milk And Milk Products","Fresh milk","2012",8,"Switzerland","euroValue",5664
"Milk And Milk Products","Fresh milk","2012",8,"Switzerland","tons",1.864
"Milk And Milk Products","Fresh milk","2012",9,"Switzerland","euroValue",7661
"Milk And Milk Products","Fresh milk","2012",9,"Switzerland","tons",3.764
"Milk And Milk Products","Fresh milk","2012",10,"Switzerland","euroValue",4874
"Milk And Milk Products","Fresh milk","2012",10,"Switzerland","tons",1.787
"Milk And Milk Products","Fresh milk","2012",11,"Switzerland","euroValue",6252
"Milk And Milk Products","Fresh milk","2012",11,"Switzerland","tons",1.724
"Milk And Milk Products","Fresh milk","2012",12,"Switzerland","euroValue",5101
"Milk And Milk Products","Fresh milk","2012",12,"Switzerland","tons",1.827
"Milk And Milk Products","Fresh milk","2013",1,"Switzerland","euroValue",6324
"Milk And Milk Products","Fresh milk","2013",1,"Switzerland","tons",1.747
